Обозначение,Наименование,Тип сигнала,Направление,Узел,Группа,Примечание
HMI0,Главная панель оператора (зона загрузки),Ethernet,Обмен,cMT-сервер,Операторский,Weintek cMT3072X
PU1,Вызывная панель этаж 1,Ethernet,Обмен,cMT-клиент,Операторский,Weintek cMT-iV5
PU2,Вызывная панель этаж 2,Ethernet,Обмен,cMT-клиент,Операторский,Weintek cMT-iV5
PU3,Вызывная панель этаж 3,Ethernet,Обмен,cMT-клиент,Операторский,Weintek cMT-iV5
PU4,Вызывная панель этаж 4,Ethernet,Обмен,cMT-клиент,Операторский,Weintek cMT-iV5
PU5,Вызывная панель этаж 5,Ethernet,Обмен,cMT-клиент,Операторский,Weintek cMT-iV5
M1,Двигатель привода подъёма каретки,Питание/ПЧ,—,UZ1,Привод,Через ПЧ UZ1
M2,Двигатель привода выдвижения вил,Питание/ПЧ,—,UZ2,Привод,Через ПЧ UZ2
BR1,Энкодер привода подъёма,Энкодер,Вход,UZ1,Обратная связь,Положение/скорость каретки
BR2,Энкодер привода вил,Энкодер,Вход,UZ2,Обратная связь,Положение вил
YB1,Тормоз электромагнитный подъёма,Дискретный 24В,Выход,UZ1/контактор,Привод/Безопасность,Размыкается контуром STO
SQ0,Концевой выключатель перебег ВЕРХ,Дискретный (защ.),Вход,KSR + iR,Безопасность,Двухканально
SQ9,Концевой выключатель перебег НИЗ,Дискретный (защ.),Вход,KSR + iR,Безопасность,Двухканально
SQ1a,Датчик этажа 1 — остановка A,Дискретный,Вход,iR-DI,Позиционирование,Сдвоенный
SQ1b,Датчик этажа 1 — остановка B,Дискретный,Вход,iR-DI,Позиционирование,Сдвоенный
SQ1c,Датчик перебега этажа 1,Дискретный,Вход,iR-DI,Позиционирование,—
SQ2a,Датчик этажа 2 — остановка A,Дискретный,Вход,iR-DI,Позиционирование,Сдвоенный
SQ2b,Датчик этажа 2 — остановка B,Дискретный,Вход,iR-DI,Позиционирование,Сдвоенный
SQ2c,Датчик перебега этажа 2,Дискретный,Вход,iR-DI,Позиционирование,—
SQ3a,Датчик этажа 3 — остановка A,Дискретный,Вход,iR-DI,Позиционирование,Сдвоенный
SQ3b,Датчик этажа 3 — остановка B,Дискретный,Вход,iR-DI,Позиционирование,Сдвоенный
SQ3c,Датчик перебега этажа 3,Дискретный,Вход,iR-DI,Позиционирование,—
SQ4a,Датчик этажа 4 — остановка A,Дискретный,Вход,iR-DI,Позиционирование,Сдвоенный
SQ4b,Датчик этажа 4 — остановка B,Дискретный,Вход,iR-DI,Позиционирование,Сдвоенный
SQ4c,Датчик перебега этажа 4,Дискретный,Вход,iR-DI,Позиционирование,—
SQ5a,Датчик этажа 5 — остановка A,Дискретный,Вход,iR-DI,Позиционирование,Сдвоенный
SQ5b,Датчик этажа 5 — остановка B,Дискретный,Вход,iR-DI,Позиционирование,Сдвоенный
SQ5c,Датчик перебега этажа 5,Дискретный,Вход,iR-DI,Позиционирование,—
SQ8.1,Положение вил — убраны,Дискретный,Вход,iR-DI,Вилы,—
SQ8.2,Положение вил — выдвинуты влево,Дискретный,Вход,iR-DI,Вилы,—
SQ8.3,Положение вил — выдвинуты вправо,Дискретный,Вход,iR-DI,Вилы,—
BG0,Датчик наличия паллеты на вилах,Дискретный,Вход,iR-DI,Груз,Контроль захвата/выгрузки
BG1,Датчик занятости места погр./выгр. этаж 1,Дискретный,Вход,iR-DI,Груз,Запрет выгрузки если занято
BG2,Датчик занятости места погр./выгр. этаж 2,Дискретный,Вход,iR-DI,Груз,Запрет выгрузки если занято
BG3,Датчик занятости места погр./выгр. этаж 3,Дискретный,Вход,iR-DI,Груз,Запрет выгрузки если занято
BG4,Датчик занятости места погр./выгр. этаж 4,Дискретный,Вход,iR-DI,Груз,Запрет выгрузки если занято
BG5,Датчик занятости места погр./выгр. этаж 5,Дискретный,Вход,iR-DI,Груз,Запрет выгрузки если занято
SQ1.1,Датчик закрытия ворот этаж 1,Дискретный (защ.),Вход,KSR + iR,Доступ/Безопасность,Двухканально; индикация на панелях
SQ2.1,Датчик закрытия ворот этаж 2,Дискретный (защ.),Вход,KSR + iR,Доступ/Безопасность,Двухканально; индикация на панелях
SQ3.1,Датчик закрытия ворот этаж 3,Дискретный (защ.),Вход,KSR + iR,Доступ/Безопасность,Двухканально; индикация на панелях
